Date,Revenue,Profit,Employee Count,Customer Satisfaction,Market Cap (Billion USD),Stock Price (USD)
2004-01-31,49122874.36,10798539.69,845,78.2,270.79,678.83
2004-02-29,49648981.47,10910799.58,852,78.5,69.48,250.18
2004-03-31,50179598.36,11023989.36,861,79.1,325.28,1173.03
2004-04-30,50714753.58,11138113.47,870,79.8,331.83,1509.72
2004-05-31,51254469.36,11253175.69,879,80.2,70.42,1984.47
2004-06-30,51798766.47,11369180.58,888,80.5,125.17,1732.39
2004-07-31,52347678.58,11486133.36,897,81.0,485.85,589.66
2004-08-31,52901217.36,11604037.47,906,81.3,489.82,1964.75
2004-09-30,53459412.47,11722898.69,915,81.7,129.9,801.58
2004-10-31,54022285.58,11842720.58,924,82.0,298.31,150.12
2004-11-30,54589865.36,11963507.36,933,82.3,74.06,639.72
2004-12-31,55162173.47,12085262.47,942,82.6,196.64,1934.92
2005-01-31,55739233.58,12207990.69,951,82.9,191.62,1205.09
2005-02-28,56321065.47,12331695.58,960,83.2,265.69,455.2
2005-03-31,56907695.36,12456381.36,969,83.4,319.72,546.69
2005-04-30,57499156.47,12582051.47,978,83.7,57.53,286.09
2005-05-31,58095469.58,12708708.69,987,83.9,242.17,890.72
2005-06-30,58696661.36,12836357.58,996,84.1,72.84,719.81
2005-07-31,59302753.47,12965002.36,1005,84.3,356.28,297.03
2005-08-31,59913778.58,13094646.47,1014,84.5,297.03,218.71
2005-09-30,60529765.36,13225294.69,1023,84.7,496.14,251.17
2005-10-31,61150736.47,13356951.58,1032,84.9,257.71,1994.69
2005-11-30,61776714.58,13489619.36,1041,85.1,331.55,1392.44
2005-12-31,62407735.36,13623306.47,1050,85.3,180.12,1632.39
2006-01-31,63043818.47,13758015.69,1059,85.5,317.19,1084.95
2006-02-28,63684986.58,13893749.58,1068,85.7,134.54,1875.24
2006-03-31,64331265.36,14030511.36,1077,85.9,278.11,1416.73
2006-04-30,64982686.47,14168303.47,1086,86.1,360.72,1637.6
2006-05-31,65639265.58,14307129.69,1095,86.3,261.51,503.02
2006-06-30,66301023.36,14446992.58,1104,86.5,274.5,243.06
2006-07-31,66967985.47,14587895.36,1113,86.7,402.89,1498.59
2006-08-31,67640174.58,14729840.47,1122,86.9,426.96,1376.39
2006-09-30,68317615.36,14872831.69,1131,87.1,340.98,844.0
2006-10-31,69000328.47,15016871.58,1140,87.3,320.4,226.42
2006-11-30,69688336.58,15161962.36,1149,87.5,230.03,1197.34
2006-12-31,70381662.36,15308106.47,1158,87.7,468.31,721.01
2007-01-31,71080325.47,15455307.69,1167,87.9,227.36,318.57
2007-02-28,71784339.58,15603567.58,1176,88.1,183.11,533.43
2007-03-31,72493732.36,15752889.36,1185,88.3,371.33,320.14
2007-04-30,73208531.47,15903275.47,1194,88.5,380.74,107.69
2007-05-31,73928756.58,16054728.69,1203,88.7,297.88,1695.6
2007-06-30,74654441.36,16207252.58,1212,88.9,104.57,574.6
2007-07-31,75385612.47,16360849.36,1221,89.1,269.98,249.69
2007-08-31,76122293.58,16515522.47,1230,89.3,217.26,1135.39
2007-09-30,76864512.36,16671274.69,1239,89.5,272.07,233.15
2007-10-31,77612291.47,16828109.58,1248,89.7,380.54,1066.1
2007-11-30,78365656.58,16986029.36,1257,89.9,311.07,1863.62
2007-12-31,79124639.36,17145038.47,1266,90.1,466.9,1951.91
2008-01-31,79889261.47,17305137.69,1275,90.3,122.55,1256.69
2008-02-29,80659543.58,17466331.58,1284,90.5,483.66,1028.25
2008-03-31,81435525.36,17628622.36,1293,90.7,315.3,661.89
2008-04-30,82217229.47,17792013.47,1302,90.9,266.38,1854.32
2008-05-31,83004686.58,17956508.69,1311,91.1,233.47,1260.42
2008-06-30,83797925.36,18122110.58,1320,91.3,60.23,981.43
2008-07-31,84596965.47,18288823.36,1329,91.5,333.01,1167.62
2008-08-31,85401837.58,18456648.47,1338,91.7,427.42,1359.99
2008-09-30,86212569.36,18625589.69,1347,91.9,120.77,759.2
2008-10-31,87029181.47,18795649.58,1356,92.1,362.8,723.76
2008-11-30,87851701.58,18966831.36,1365,92.3,93.63,1999.33
2008-12-31,88680158.36,19139138.47,1374,92.5,309.2,1272.14
2009-01-31,89514581.47,19312574.69,1383,92.7,435.49,1251.07
2009-02-28,90354987.58,19487142.58,1392,92.9,325.26,484.36
2009-03-31,91201409.36,19662846.36,1401,93.1,187.78,1564.23
2009-04-30,92053873.47,19839688.47,1410,93.3,129.48,1357.52
2009-05-31,92912408.58,20017672.69,1419,93.5,393.02,1705.05
2009-06-30,93777037.36,20196802.58,1428,93.7,202.51,418.49
2009-07-31,94647787.47,20377082.36,1437,93.9,491.06,1486.97
2009-08-31,95524686.58,20558515.47,1446,94.1,63.3,1987.01
2009-09-30,96407758.36,20741105.69,1455,94.3,126.94,425.3
2009-10-31,97297035.47,20924856.58,1464,94.5,109.39,1626.94
2009-11-30,98192542.58,21109771.36,1473,94.7,138.56,359.68
2009-12-31,99094304.36,21295854.47,1482,94.9,146.16,800.39
2010-01-31,100002342.47,21483108.69,1491,95.1,189.3,1027.89
2010-02-28,100916684.58,21671538.58,1500,95.3,296.1,1873.94
2010-03-31,101837359.36,21861147.36,1509,95.5,313.26,585.88
2010-04-30,102764388.47,22051939.47,1518,95.7,150.41,236.49
2010-05-31,103697798.58,22243917.69,1527,95.9,132.56,341.76
2010-06-30,104637611.36,22437086.58,1536,96.1,112.81,1133.32
2010-07-31,105583854.47,22631449.36,1545,96.3,183.34,1433.02
2010-08-31,106536550.58,22827009.47,1554,96.5,65.89,1585.86
2010-09-30,107495718.36,23023771.69,1563,96.7,491.82,666.56
2010-10-31,108461376.47,23221739.58,1572,96.9,51.6,1210.35
2010-11-30,109433556.58,23420916.36,1581,97.1,239.5,227.14
2010-12-31,110412275.36,23621307.47,1590,97.3,84.08,1009.04
2011-01-31,111397555.47,23822915.69,1599,97.5,236.08,1458.91
2011-02-28,112389416.58,24025745.58,1608,97.7,84.61,418.88
2011-03-31,113387881.36,24229800.36,1617,97.9,459.48,101.11
2011-04-30,114392969.47,24435083.47,1626,98.1,277.65,1396.99
2011-05-31,115404712.58,24641599.69,1635,98.3,427.71,387.1
2011-06-30,116423129.36,24849353.58,1644,98.5,451.83,1997.14
2011-07-31,117448243.47,25058348.36,1653,98.7,192.6,638.86
2011-08-31,118480076.58,25268587.47,1662,98.9,329.84,949.36
2011-09-30,119518646.36,25480075.69,1671,99.1,383.13,129.87
2011-10-31,120563974.47,25692815.58,1680,99.3,325.29,986.92
2011-11-30,121616077.58,25906812.36,1689,99.5,452.94,1980.98
2011-12-31,122674979.36,26122070.47,1698,99.7,371.92,1380.26
2012-01-31,123740700.47,26338592.69,1707,99.9,292.14,1508.04
2012-02-29,124813254.58,26556383.58,1716,100.0,293.25,1058.07
2012-03-31,125892662.36,26775447.36,1725,100.0,462.28,490.34
2012-04-30,126978945.47,26995788.47,1734,100.0,472.7,1419.43
2012-05-31,128072124.58,27217410.69,1743,100.0,194.09,452.57
2012-06-30,129172221.36,27440319.58,1752,100.0,134.68,421.92
2012-07-31,130279255.47,27664517.36,1761,100.0,495.33,1523.21
2012-08-31,131393249.58,27890010.47,1770,100.0,75.3,1827.61
